casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119422,1,486 Smith St,11,"Assault, Simple",2017-11-13 04:06:00,RMalloy,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.835683,-71.427127,Smith Hill
2017-00119410,1,Cranston St At Gilmore St,11,Traffic Violation,2017-11-13 02:16:00,TManzotti,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.8136219,-71.42766010000001,West End Providence
2017-00119408,1,Valley St At Wolcott St,11,Traffic Violation,2017-11-13 02:04:00,SCampbell,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.8290071,-71.4333149,Valley
2017-00119400,0,332 S Water St ,11,Request for Assistance,2017-11-13 01:25:00,MRudolph,Not Used,No violations,2017,other_crime,Providence,41.8207718,-71.4042013,Fox Point
2017-00119397,1,Junction St ,11,Drug Offenses,2017-11-13 01:11:00,ZSilbert,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,other_crime,Providence,41.8124228,-71.4238558,West End Providence
2017-00500224,1,75 Erastus St,11,Larceny from Motor Vehicle,2017-11-13 00:31:01,PPotter,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.8257086,-71.4505214,Mount Pleasant
2017-00119388,1,389 Elmwood Ave,11,Traffic Violation,2017-11-13 00:27:00,TCalandra,31-8-3,Improper Use of Evidence of Registration or Certificate,2017,other_crime,Providence,41.801208,-71.42685600000002,West End Providence
2017-00119388,1,389 Elmwood Ave,11,Traffic Violation,2017-11-13 00:27:00,TCalandra,31-8-2,Operation of MV When Registration Canceled,2017,other_crime,Providence,41.801208,-71.42685600000002,West End Providence
2017-00119388,1,389 Elmwood Ave,11,Traffic Violation,2017-11-13 00:27:00,TCalandra,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.801208,-71.42685600000002,West End Providence
2017-00119384,0,15 Bissell St,11,Request for Assistance,2017-11-12 23:45:00,MPlace,Not Used,No violations,2017,other_crime,Providence,41.77738,-71.420068,South Elmwood
2017-00119368,1,25 Bridge St,11,Larceny from Motor Vehicle,2017-11-12 22:16:00,SSousa,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.81743549999999,-71.40187829999999,Fox Point
2017-00119362,2,250 Cranston St,11,Warrant\Capias,2017-11-12 21:42:00,AFrancis,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,other_crime,Providence,41.8131354,-71.4278377,West End Providence
2017-00119362,0,250 Cranston St,11,Suspicious Person,2017-11-12 21:42:00,AFrancis,Not Used,No violations,2017,other_crime,Providence,41.8131354,-71.4278377,West End Providence
2017-00119360,1,Empire St At Fountain St,11,Larceny from Motor Vehicle,2017-11-12 21:23:00,NManfredi,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.8223687,-71.4171267,Ward 13
