casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2017-00106512,1,157 Waterman St,10,"Fraud, Swindle",2017-10-11 16:34:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,16,34,11,41.8003873,-71.4219816,Providence,Elmwood
2017-00106510,1,Summer Street ,10,Municipal Code Violation,2017-10-11 16:25:00,Central Station,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,2017,other_crime,16,25,11,41.8174722,-71.41783029999999,Providence,Federal Hill
2017-00106509,1,350 Hope St,10,Disorderly Conduct,2017-10-11 16:22:00,GBustamante,11-45-1,DISORDERLY CONDUCT,2017,other_crime,16,22,11,41.79302800000001,-71.40772299999999,Providence,Washington Park
2017-00106500,1,195 California Ave,10,"Fraud, Swindle",2017-10-11 16:19:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,16,19,11,42.6095651,-70.64503979999999,Essex County,Gloucester
2017-00106490,1,Eddy St At Thurbers Ave,10,Warrant\Capias,2017-10-11 15:59:00,TCalandra,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,other_crime,15,59,11,39.9362554,-75.1433883,Philadelphia,Center City
2017-00106546,1,75 South St,10,Municipal Code Violation,2017-10-11 15:58:50,SFernandez,Sec. 16-4.  ,"Malicious injury--Fences, posts, trees.",2017,other_crime,15,58,11,41.8085602,-71.4250502,Providence,West End Providence
2017-00106476,1,150 Pocasset Ave,10,"Larceny, Other",2017-10-11 15:15:02,JDalton,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,15,15,11,41.8171545,-71.4261832,Providence County,Providence
2017-00106474,1,325 Washington St,10,Disorderly Conduct,2017-10-11 15:14:00,MVoyer,11-45-1,DISORDERLY CONDUCT,2017,other_crime,15,14,11,41.0538435,-80.66084819999999,Mahoning County,Youngstown
2017-00106473,1,60 Joseph St,10,"Larceny, Other",2017-10-11 15:10:00,Central Station,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2017,property_crime,15,10,11,41.8193579,-71.41498299999999,Providence County,Providence
2017-00106472,1,Park Row At Railroad Ter,10,RI Statute Violation,2017-10-11 15:09:00,ADoucette,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,other_crime,15,9,11,41.8093679,-71.448739,Providence County,Providence
2017-00106472,1,Park Row At Railroad Ter,10,Receiving Stolen Property,2017-10-11 15:09:00,ADoucette,11-41-2,RECEIVING STOLEN GOODS-MISDEMEANOR,2017,other_crime,15,9,11,41.8053389,-71.4370163,Providence County,Providence
2017-00106472,1,Park Row At Railroad Ter,10,Receiving Stolen Property,2017-10-11 15:09:00,ADoucette,31-9-2,Possession of Stolen Vehicle or Parts,2017,other_crime,15,9,11,41.83525729999999,-71.448315,Providence,Mount Pleasant
2017-00106458,1,424 Prairie Ave,10,Municipal Code Violation,2017-10-11 14:10:00,Central Station,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2017,other_crime,14,10,11,41.794292,-71.42387599999999,Providence,Elmwood
2017-00106435,1,515 Elmwood Ave,10,Municipal Code Violation,2017-10-11 12:59:00,PCaminero,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2017,other_crime,12,59,11,41.8227435,-71.431823,Providence County,Providence
2017-00106443,1,233 Indiana Ave,10,"Larceny, Other",2017-10-11 12:55:02,EKemble,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,12,55,11,41.8421578,-71.4434666,Providence,Elmhurst
2017-00106432,1,51 Manton Ave,10,"Assault, Simple",2017-10-11 12:52:00,RJoseph,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,other_crime,12,52,11,42.2339001,-88.3329076,Algonquin Township,Crystal Lake
2017-00106430,1,545 Mt Pleasant Ave,10,Traffic Violation,2017-10-11 12:48:00,RByfield,31-3-1,Operation of Unregistered Vehicle,2017,other_crime,12,48,11,41.8525605,-71.42125109999999,Providence,Charles
2017-00106430,1,545 Mt Pleasant Ave,10,Traffic Violation,2017-10-11 12:48:00,RByfield,31-8-3,Improper Use of Evidence of Registration or Certificate,2017,other_crime,12,48,11,41.8419497,-71.39850779999999,Rhode Island,Providence County
2017-00106424,1,533 Elmwood Ave,10,"Assault, Threats",2017-10-11 12:27:00,ECraven,11-21-1,HAZING - INTIMIDATION,2017,violent_crime,12,27,11,41.8383991,-71.4214556,Providence,Smith Hill
2017-00106421,1,808 Hope St,10,"Larceny, Other",2017-10-11 12:25:42,WHutchinson,11-41-6,ATTEMPTED LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,12,25,11,42.3256843,-71.8259789,Worcester County,Holden
2017-00106419,1,549 Charles St,10,"Fraud, Swindle",2017-10-11 12:22:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,12,22,11,41.8481967,-71.4326961,Providence,Wanskuck
2017-00106411,1,Broad St At Portland St,10,Traffic Violation,2017-10-11 12:10:00,JStanzione,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,12,10,11,41.8192499,-71.422783,Providence,Ward 13
2017-00106414,1,7 Providence Pl,10,"Larceny, Shoplifting",2017-10-11 12:09:16,MCifuentes,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,property_crime,12,9,11,41.782375,-71.435942,Providence County,Cranston
2017-00106402,1,297 Point St,10,"Fraud, Swindle",2017-10-11 11:42:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,other_crime,11,42,11,40.9256888,-74.0056389,Bergen County,Bergenfield
2017-00106403,1,73 Warrington St,10,Disorderly Conduct,2017-10-11 11:40:45,LTaveras,11-45-1,DISORDERLY CONDUCT,2017,other_crime,11,40,11,41.832818,-71.422865,Providence,Smith Hill
