LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.4470876,41.7831172,1111,PARK AV,,CRANSTON,,,,64279,94a8ecd5cfc912a6
-71.4253531,41.7769755,629,PARK AV,,CRANSTON,,,,64286,8a5e6c93d00c61fb
-71.451464,41.7998956,79,GLADSTONE ST,,CRANSTON,,,,63869,94a21598870274c1
-71.4553142,41.8031626,420,PRINCESS AV,,CRANSTON,,,,63919,d6c99fe01c0c90c8
-71.45481,41.7994345,91,LAWRENCE ST,,CRANSTON,,,,63926,03e33f5c6cfbff0e
-71.4571187,41.7998866,190,GLADSTONE ST,,CRANSTON,,,,63928,7801caf6d1099483
-71.4288194,41.7732979,246,S CLARENDON ST,,CRANSTON,,,,63951,2aeb22fa1ce12b1e
-71.4309259,41.776693,165,GREENWOOD ST,,CRANSTON,,,,63960,9fe5f515dd56bbd1
-71.4330855,41.7732945,275,ORCHARD ST,,CRANSTON,,,,63962,4491f47d80318740
-71.4287545,41.7773373,696,PARK AV,,CRANSTON,,,,63969,9dfdafbe87596e69
-71.4498007,41.8025724,114,HEATHER ST,,CRANSTON,,,,64019,4f8131da7247a04e
-71.4556463,41.8031217,257,HEATHER ST,,CRANSTON,,,,64181,8ac78b476df05d6d
-71.4485208,41.7958504,14,FIELD ST,,CRANSTON,,,,64232,4cbb0efa000593fb
-71.4447081,41.8015828,25,CUTTING AV,,CRANSTON,,,,64264,06c5505e82df7cb0
-71.4459327,41.8023149,421,WEBSTER AV,,CRANSTON,,,,64021,8c4ea6b2c3fa65f1
-71.4530961,41.8053536,95,ALTO ST,,CRANSTON,,,,64053,153c3b1e599f38d2
-71.4328546,41.7780694,90,GRACE ST,,CRANSTON,,,,64060,c74ca179742c1735
-71.4369755,41.7730796,516,PONTIAC AV,,CRANSTON,,,,64322,03f432bcb83ea950
-71.4376589,41.781196,192 R,ELSIE ST,,CRANSTON,,,,64307,7e973a6ff9947de6
-71.437595,41.7807803,63,HIGH SCHOOL AV,,CRANSTON,,,,64309,91583a90e363d0a2
-71.4369661,41.7730468,518,PONTIAC AV,,CRANSTON,,,,64323,4fe358da105c1e42
-71.4595488,41.7853664,111,MASSACHUSETTS ST,,CRANSTON,,,,64339,2dd00b610deb1229
-71.4591979,41.7852632,121,MASSACHUSETTS ST,,CRANSTON,,,,64340,8f4dc09d65aed42b
-71.4612561,41.7903612,1480,CRANSTON ST,,CRANSTON,,,,64358,111b89675d4d31ef
-71.4443025,41.8023842,895,CRANSTON ST,,CRANSTON,,,,64393,d1e995d8bc9d5b83
-71.4437543,41.8041537,7,FRANKLIN AV,,CRANSTON,,,,64407,0ee9c28c899a47d9
-71.4456705,41.7826419,1079,PARK AV,,CRANSTON,,,,64282,794a471d16b1fe83
-71.4255082,41.7770044,633,PARK AV,,CRANSTON,,,,64284,22e2d2c1b4a24cf3
-71.4358012,41.7762506,69,RICHARD ST,,CRANSTON,,,,64298,dfa75d1fd58701f1
-71.4359776,41.7755866,87,RICHARD ST,,CRANSTON,,,,64300,098426d1bb664437
-71.43362,41.7800167,274,PONTIAC AV,,CRANSTON,,,,64317,78986e462f3eb5b7
-71.4594678,41.7861823,110,NEW HAMPSHIRE ST,,CRANSTON,,,,64331,daa6dcac09aa2d51
-71.4596692,41.7861927,106,NEW HAMPSHIRE ST,,CRANSTON,,,,64332,2af178eccd1bb1c3
